Fecha,Ciudad,Sucursal,Categoría,Índice_Laspeyres,Precio_Promedio_Pond,Inflación_Mensual_Acum,Inflación_Diaria
2026-05-27,La Paz,Calacoto,Abarrotes,100.0,76.44,0.0,0.0
2026-05-27,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-05-27,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-05-27,La Paz,Calacoto,Frutas y Verduras,100.0,29.02,0.0,0.0
2026-05-27,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-05-28,La Paz,Calacoto,Abarrotes,52.6899,40.28,-47.3101,-0.473101
2026-05-28,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-05-28,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-05-28,La Paz,Calacoto,Frutas y Verduras,100.0,29.02,0.0,0.0
2026-05-28,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-05-29,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-05-29,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-05-29,La Paz,Calacoto,Frutas y Verduras,100.0,29.02,0.0,0.0
2026-05-29,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-05-30,La Paz,Calacoto,Abarrotes,52.6899,40.28,-47.3101,0.0
2026-05-30,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-05-30,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-05-30,La Paz,Calacoto,Frutas y Verduras,100.0,29.02,0.0,0.0
2026-05-30,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-05-31,La Paz,Calacoto,Abarrotes,100.0,14.95,0.0,0.8978969404003423
2026-05-31,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-05-31,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
2026-05-31,La Paz,Calacoto,Frutas y Verduras,100.0,29.02,0.0,0.0
2026-05-31,La Paz,Calacoto,Panadería,100.0,45.0,0.0,0.0
2026-06-01,La Paz,Calacoto,Abarrotes,100.0,14.95,0.0,0.0
2026-06-01,La Paz,Calacoto,Bebidas,100.0,32.3,0.0,0.0
2026-06-01,La Paz,Calacoto,Lácteos y Derivados,100.0,58.0,0.0,0.0
